Model,Train Acc,Test Acc,Overfit Gap,Train Time (s),Infer Time (ms/1000)
Random Forest,1.0,0.9199852507374632,0.08001474926253682,0.29896116256713867,26.785850524902344
SVM,0.93128078817734,0.9295722713864307,0.0017085167909092203,0.31311845779418945,119.54402923583984
XGBoost,0.9742200328407224,0.9303097345132744,0.04391029832744808,0.6054387092590332,2.0036697387695312
LightGBM,0.9938423645320197,0.9269911504424779,0.06685121408954176,2.1495823860168457,4.797458648681641
MLP Neural Net,0.93128078817734,0.9258849557522124,0.005395832425127534,2.5593371391296387,2.988100051879883
